IDDIST,DEPARTAMENTO,PROVINCIA,DISTRITO,tmin_promedio_total
100902,HUANUCO,PUERTO INCA,CODO DEL POZUZO,18.76
100904,HUANUCO,PUERTO INCA,TOURNAVISTA,22.05
250305,UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,21.86
250302,UCAYALI,PADRE ABAD,IRAZOLA,22.1
250304,UCAYALI,PADRE ABAD,NESHUYA,21.94
250301,UCAYALI,PADRE ABAD,PADRE ABAD,20.08
250303,UCAYALI,PADRE ABAD,CURIMANA,22.03
100901,HUANUCO,PUERTO INCA,PUERTO INCA,21.59
250106,UCAYALI,CORONEL PORTILLO,NUEVA REQUENA,22.05
250102,UCAYALI,CORONEL PORTILLO,CAMPOVERDE,21.91
160601,LORETO,UCAYALI,CONTAMANA,21.2
130104,LA LIBERTAD,TRUJILLO,HUANCHACO,17.63
130207,LA LIBERTAD,ASCOPE,SANTIAGO DE CAO,18.34
130110,LA LIBERTAD,TRUJILLO,SIMBAL,16.17
130204,LA LIBERTAD,ASCOPE,MAGDALENA DE CAO,18.07
130203,LA LIBERTAD,ASCOPE,CHOCOPE,18.01
130205,LA LIBERTAD,ASCOPE,PAIJAN,18.02
130613,LA LIBERTAD,OTUZCO,SINSICAP,13.19
130202,LA LIBERTAD,ASCOPE,CHICAMA,17.9
130206,LA LIBERTAD,ASCOPE,RAZURI,17.8
131103,LA LIBERTAD,GRAN CHIMU,MARMOT,14.43
130201,LA LIBERTAD,ASCOPE,ASCOPE,17.86
131101,LA LIBERTAD,GRAN CHIMU,CASCAS,14.2
130208,LA LIBERTAD,ASCOPE,CASA GRANDE,17.67
060505,CAJAMARCA,CONTUMAZA,SAN BENITO,15.87
130701,LA LIBERTAD,PACASMAYO,SAN PEDRO DE LLOC,17.88
060503,CAJAMARCA,CONTUMAZA,CUPISNIQUE,14.99
230110,TACNA,TACNA,CORONEL GREGORIO ALBARRACIN LANCHIPA,14.8
230108,TACNA,TACNA,POCOLLAY,12.3
230103,TACNA,TACNA,CALANA,11.86
230101,TACNA,TACNA,TACNA,12.45
230109,TACNA,TACNA,SAMA,15.04
230104,TACNA,TACNA,CIUDAD NUEVA,11.82
230303,TACNA,JORGE BASADRE,ITE,15.36
180301,MOQUEGUA,ILO,ILO,15.84
230102,TACNA,TACNA,ALTO DE LA ALIANZA,11.76
230106,TACNA,TACNA,PACHIA,8.71
230404,TACNA,TARATA,ESTIQUE-PAMPA,5.75
230403,TACNA,TARATA,ESTIQUE,4.41
230407,TACNA,TARATA,TARUCACHI,0.73
230105,TACNA,TACNA,INCLAN,12.52
230301,TACNA,JORGE BASADRE,LOCUMBA,13.2
180302,MOQUEGUA,ILO,EL ALGARROBAL,14.18
230107,TACNA,TACNA,PALCA,-2.3
230402,TACNA,TARATA,HEROES ALBARRACIN,8.73
230204,TACNA,CANDARAVE,CURIBAYA,8.14
230405,TACNA,TARATA,SITAJARA,5.64
230206,TACNA,CANDARAVE,QUILAHUANI,4.74
180303,MOQUEGUA,ILO,PACOCHA,15.8
230401,TACNA,TARATA,TARATA,-5.0
230205,TACNA,CANDARAVE,HUANUARA,4.0
230408,TACNA,TARATA,TICACO,-4.42
230302,TACNA,JORGE BASADRE,ILABAYA,10.19
180104,MOQUEGUA,MARISCAL NIETO,SAMEGUA,12.44
040706,AREQUIPA,ISLAY,PUNTA DE BOMBON,14.85
230202,TACNA,CANDARAVE,CAIRANI,-0.25
230406,TACNA,TARATA,SUSAPAYA,-5.16
040703,AREQUIPA,ISLAY,DEAN VALDIVIA,16.02
230203,TACNA,CANDARAVE,CAMILACA,-2.24
040705,AREQUIPA,ISLAY,MEJIA,14.9
210502,PUNO,EL COLLAO,CAPAZO,-5.19
230201,TACNA,CANDARAVE,CANDARAVE,-4.36
040704,AREQUIPA,ISLAY,ISLAY,14.47
180106,MOQUEGUA,MARISCAL NIETO,TORATA,3.43
180101,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,12.24
180103,MOQUEGUA,MARISCAL NIETO,CUCHUMBAYA,3.23
210405,PUNO,CHUCUITO,PISACOMA,-3.25
040702,AREQUIPA,ISLAY,COCACHACRA,13.62
040701,AREQUIPA,ISLAY,MOLLENDO,12.88
